木の高さ,2by2,2by3,変形なし,変形あり
3,3,13,2,2
3,6,3,2,3
3,4,6,2,2
3,0,7,1,1
3,2,2,-3,1
3,3,5,2,2
3,1,6,3,3
3,1,2,1,1
3,4,5,3,3
3,2,6,1,1
3,2,6,2,2
3,5,2,1,1
3,2,6,2,2
3,3,4,1,1
3,5,5,2,2
3,0,8,4,4
3,3,6,2,2
3,5,7,3,3
3,3,8,2,2
3,5,11,4,3
3,5,2,1,1
3,4,3,1,1
3,4,10,2,2
3,2,1,1,1
3,2,2,1,1
3,5,8,3,2
3,4,3,1,1
3,2,1,1,1
3,2,5,1,1
3,3,8,1,1
3,5,4,3,3
3,5,5,4,3
3,5,5,2,2
3,2,4,1,1
3,3,3,1,1
3,4,3,2,2
3,2,3,1,1
3,4,1,1,1
3,3,5,2,2
3,1,4,1,1
3,4,1,2,2
3,2,6,3,3
3,4,5,2,2
3,5,6,-1,2
3,2,6,3,3
3,2,5,-3,1
3,2,5,2,2
3,4,3,1,1
3,4,2,2,2
3,4,6,2,2
3,2,8,2,2
3,2,5,3,3
3,2,5,3,3
3,3,1,1,1
3,1,3,1,1
3,5,4,3,3
3,4,2,-1,3
3,2,3,3,3
3,0,4,1,1
3,7,5,3,2
3,1,3,1,1
3,1,4,1,1
3,3,4,3,3
3,2,1,1,1
3,3,2,1,1
3,1,2,1,1
3,3,1,1,1
3,3,4,3,3
3,5,6,3,3
3,1,2,1,1
3,5,5,2,2
3,2,5,-3,2
3,12,1,4,3
3,3,7,1,1
3,4,2,1,1
3,3,0,1,1
3,5,4,2,1
3,1,6,2,2
3,3,6,4,4
3,5,3,1,3
3,5,3,2,2
3,3,9,3,2
3,4,4,2,2
3,2,4,1,1
3,9,6,3,3
3,2,7,1,1
3,3,6,1,1
3,5,3,3,3
3,2,1,1,1
3,2,4,3,3
3,2,1,1,1
3,4,5,1,1
3,3,5,2,2
3,8,5,2,2
3,4,7,1,1
3,2,6,2,2
3,2,7,3,3
3,3,0,1,1
3,6,4,2,2
3,2,6,2,2
