木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
3,5,1,2,2,2,2
3,1,6,2,2,1,1
3,3,12,7,7,3,3
3,8,1,3,3,1,1
3,3,5,2,2,1,1
3,2,6,2,2,1,1
3,4,7,5,5,2,2
3,2,1,1,1,1,1
3,4,2,3,3,3,3
3,5,4,4,4,2,2
3,3,5,2,2,2,2
3,2,5,2,2,1,1
3,7,5,4,5,2,2
3,1,7,2,2,1,1
3,1,4,2,2,1,1
3,2,7,4,4,2,2
3,0,4,1,1,1,1
3,4,2,3,3,2,2
3,4,2,2,2,1,1
3,2,5,2,2,1,1
3,3,7,4,4,2,2
3,5,2,2,2,1,1
3,5,7,5,5,2,2
3,5,4,2,2,1,1
3,3,4,2,2,1,1
3,2,4,2,2,2,2
3,0,7,2,2,2,2
3,4,3,3,3,3,3
3,2,2,1,1,1,1
3,1,3,1,1,1,1
3,8,0,2,2,1,1
3,3,5,2,2,1,1
3,2,6,-1,-1,-3,-3
3,2,5,2,2,2,2
3,3,8,3,3,1,1
3,6,0,3,3,3,3
3,1,3,2,2,2,2
3,4,7,4,3,2,1
3,2,8,3,3,1,1
3,4,7,3,5,1,3
3,1,4,2,2,2,2
3,2,1,1,1,1,1
3,5,4,5,5,3,3
3,2,3,2,2,1,1
3,3,2,1,1,1,1
3,2,1,1,1,1,1
3,3,3,2,2,2,2
3,8,1,3,3,2,2
3,4,4,3,3,2,2
3,3,1,1,1,1,1
3,5,4,4,4,2,2
3,3,4,3,3,2,2
3,3,6,3,3,1,2
3,2,3,2,2,2,2
3,5,5,3,3,1,1
3,2,5,2,2,1,1
3,5,3,4,3,3,2
3,3,7,2,2,1,1
3,2,4,2,2,2,2
3,1,7,3,3,3,3
3,6,3,4,4,2,2
3,4,5,-1,3,-1,1
3,3,4,2,2,1,1
3,1,2,1,1,1,1
3,3,0,1,1,1,1
3,3,5,3,3,2,2
3,4,6,3,3,2,2
3,3,0,1,1,1,1
3,3,1,1,1,1,1
3,4,4,4,4,4,4
3,2,5,2,2,1,1
3,4,2,1,1,1,1
3,2,7,4,4,3,3
3,1,6,2,2,1,1
3,7,3,3,3,1,2
3,2,2,1,1,1,1
3,2,5,3,3,2,2
3,3,1,1,1,1,1
3,2,7,4,4,4,4
3,4,0,1,1,1,1
3,1,3,1,1,1,1
3,3,5,2,2,1,1
3,2,2,1,1,1,1
3,5,2,2,2,1,1
3,4,7,5,5,2,2
3,1,2,-1,1,-1,1
3,2,5,2,2,1,1
3,2,8,2,2,2,2
3,4,7,4,4,3,3
3,3,4,2,2,1,1
3,3,2,2,2,2,2
3,6,3,-1,-1,-3,-3
3,2,3,2,2,1,1
3,4,4,3,3,3,3
3,1,6,2,2,1,1
3,0,4,1,1,1,1
3,3,0,1,1,1,1
3,3,5,4,4,4,4
3,2,5,3,3,2,2
3,2,7,2,2,2,2
